"","ATT","S.E.","CI.lower","CI.upper","p.value","n.Treated"
"1",1.30054527952676,10.9026104874956,-15.4720506191257,24.5337324484716,0.988,0
"2",11.2214348093035,7.54327522974899,-1.39495692821277,27.2482560039896,0.0926666666666667,0
"3",17.2858695493906,4.13556643624088,10.0089546831911,26.3082216134001,0,0
"4",9.15542181204622,4.20034682323429,-0.583499840931508,17.1325102409535,0.0686666666666667,0
"5",0.722403606122562,4.558086850714,-6.58777777656306,9.88506574949204,0.936666666666667,0
"6",13.2335570311225,5.28519791046776,3.78513856460507,23.439464758348,0,0
"7",0.53702681987463,3.85225673647847,-6.23239180808971,7.47032756222521,0.887333333333333,0
"8",4.00668225247115,8.74753628064219,-19.3674522236967,15.8535482221255,0.372666666666667,0
"9",6.25251108096791,5.16257399695146,-3.5355003131179,14.5979814249992,0.248666666666667,0
"10",2.51219740978455,7.91490140129241,-12.5999446668557,15.6329747001178,0.660666666666667,0
"11",0.447312522825648,6.70889011879664,-13.762869781488,11.6780619858185,0.704666666666667,0
"12",-2.20298953341347,5.89568992787959,-13.2398954687322,10.4091100076193,0.641333333333333,0
"13",-4.75877395409638,4.58386868040339,-12.2996399409464,4.18311738920761,0.347333333333333,0
"14",-1.05670042258653,5.1013455585523,-12.3683794480951,7.52073501779131,0.806666666666667,0
"15",3.61671792135005,2.31367548984009,-0.472159283689472,8.22582085159265,0.0993333333333333,0
"16",1.26351467431624,4.00628292531956,-6.65883450220806,8.34963838586288,0.713333333333333,0
"17",-0.281058682755411,4.67155127231485,-8.49965226465476,10.0229160501371,0.812,0
"18",-1.31086537553576,4.18684685453045,-7.58060935844225,8.03217624230396,0.615333333333333,0
"19",-2.50716230759338,5.23920719796262,-10.6501449819689,10.8637790661635,0.467333333333333,0
"20",-4.33156653168405,4.53117729271044,-11.8925691746867,6.48005923805726,0.297333333333333,0
"21",-6.55400604063924,5.59296125418792,-16.0201355831225,4.65929055280752,0.275333333333333,0
"22",-10.4113940200406,5.34282259616981,-18.8374626116034,2.46564388592624,0.144,0
"23",-12.83757068036,6.86800481650463,-23.9803657411769,1.57476726912324,0.1,0
"24",-10.7281309671981,6.2038454164141,-23.553658752128,1.05076859423132,0.0866666666666667,0
"25",-14.5749762531993,8.44524642303698,-29.5559442984382,4.64111835081126,0.195333333333333,0
"26",-17.040335764188,6.53318633219063,-28.6206446670417,-2.86416655676531,0.002,1
"27",-20.527016582365,5.52363368433306,-32.3815436309033,-9.55572702120436,0,1
"28",-21.5550062170355,4.65361616276834,-32.3079564611979,-14.3038297003544,0,1
"29",-16.9162794383715,5.10066882709581,-26.0914094462181,-8.23404070921755,0,1
"30",-15.7823989464844,4.1290148055632,-23.3714263086849,-8.35987657255321,0,1
"31",-14.1152506229804,3.20734485515102,-20.8212451427555,-8.13030604480818,0,1
"32",-21.0987952904492,3.75808208733915,-29.1923424501984,-15.411190446562,0,1
"33",-21.8175149851688,4.33521072941142,-30.8069781237977,-14.6960588974421,0,1
"34",-21.9549480314322,4.21670505450991,-30.5858885025532,-14.8477966565369,0,1
